cidade,bairro,weekday,mean_count,index,proportion
Fortaleza,CONJUNTO CEARÁ II,Segunda-feira,1.0,0.46153846153846156,0.07692307692307693
Fortaleza,CONJUNTO CEARÁ II,Sexta-feira,2.0,0.9230769230769231,0.15384615384615385
Fortaleza,CONJUNTO CEARÁ II,Terça-feira,2.0,0.9230769230769231,0.15384615384615385
Fortaleza,CONJUNTO ESPERANÇA,Domingo,1.0,0.5384615384615384,0.07692307692307693
Fortaleza,CONJUNTO ESPERANÇA,Quarta-feira,1.0,0.5384615384615384,0.07692307692307693
Fortaleza,CONJUNTO ESPERANÇA,Quinta-feira,1.0,0.5384615384615384,0.07692307692307693
Fortaleza,CONJUNTO ESPERANÇA,Segunda-feira,3.0,1.6153846153846154,0.23076923076923078
Fortaleza,CONJUNTO ESPERANÇA,Sexta-feira,2.0,1.0769230769230769,0.15384615384615385
Fortaleza,CONJUNTO ESPERANÇA,Sábado,4.0,2.1538461538461537,0.3076923076923077
Fortaleza,CONJUNTO ESPERANÇA,Terça-feira,1.0,0.5384615384615384,0.07692307692307693
Fortaleza,CONJUNTO PALMEIRAS,Domingo,9.0,1.1666666666666667,0.16666666666666666
Fortaleza,CONJUNTO PALMEIRAS,Quarta-feira,6.0,0.7777777777777778,0.1111111111111111
Fortaleza,CONJUNTO PALMEIRAS,Quinta-feira,9.0,1.1666666666666667,0.16666666666666666
Fortaleza,CONJUNTO PALMEIRAS,Segunda-feira,8.0,1.037037037037037,0.14814814814814814
Fortaleza,CONJUNTO PALMEIRAS,Sexta-feira,11.0,1.4259259259259258,0.2037037037037037
Fortaleza,CONJUNTO PALMEIRAS,Sábado,6.0,0.7777777777777778,0.1111111111111111
Fortaleza,CONJUNTO PALMEIRAS,Terça-feira,5.0,0.6481481481481481,0.09259259259259259
Fortaleza,COUTO FERNANDES,Quarta-feira,2.0,1.0,0.3333333333333333
Fortaleza,COUTO FERNANDES,Sexta-feira,2.0,1.0,0.3333333333333333
Fortaleza,COUTO FERNANDES,Sábado,2.0,1.0,0.3333333333333333
Fortaleza,CRISTO REDENTOR,Domingo,10.0,1.1666666666666667,0.16666666666666666
Fortaleza,CRISTO REDENTOR,Quarta-feira,10.0,1.1666666666666667,0.16666666666666666
Fortaleza,CRISTO REDENTOR,Quinta-feira,5.0,0.5833333333333334,0.08333333333333333
Fortaleza,CRISTO REDENTOR,Segunda-feira,8.0,0.9333333333333333,0.13333333333333333
Fortaleza,CRISTO REDENTOR,Sexta-feira,8.0,0.9333333333333333,0.13333333333333333
Fortaleza,CRISTO REDENTOR,Sábado,10.0,1.1666666666666667,0.16666666666666666
Fortaleza,CRISTO REDENTOR,Terça-feira,9.0,1.05,0.15
Fortaleza,CURIÓ,Domingo,4.0,1.0,0.16666666666666666
