year_month,bairro,procedimentos,armas_sequestradas,drogas_kg,dinheiro_reais,homicidios
2021-01,SANTO ANTÔNIO,1,0,32.0,0.0,0
2021-01,SAPIRANGA,1,0,2.0,0.0,0
2021-01,SEMINÁRIO,3,0,1.5,0.0,0
2021-01,SERRA DO SÃO MATHEUS,1,1,0.0,0.0,0
2021-01,SERTÃOZINHO,1,1,0.0,0.0,0
2021-01,SINHÁ SABIÁ,1,0,160.0,0.0,0
2021-01,SITIO ESCONDIDO,1,1,0.0,0.0,0
2021-01,SIUPE,1,1,0.0,0.0,0
2021-01,SUMARÉ,1,0,705.0,410.0,0
2021-01,SÃO BENTO,2,0,0.0,0.0,0
2021-01,SÃO FRANCISCO,2,0,7.8,40.0,0
2021-01,SÃO JOSÉ,2,0,18.0,100.0,0
2021-01,SÃO JOÃO DO TAUAPE,1,0,0.0,0.0,0
2021-01,SÃO MIGUEL,1,0,31.0,80.45,0
2021-01,SÍTIO LEÃO,1,1,0.0,0.0,0
2021-01,SÍTIO MANGA AÇUDINHO,1,0,0.0,0.0,0
2021-01,TABAPUAZINHO,1,0,120.0,0.0,0
2021-01,TABOQUEIRA,1,0,4.0,0.0,0
2021-01,TABULEIRO DO CATA-VENTO,1,0,0.0,0.0,0
2021-01,TAMARINDO,1,0,2.0,100.3,0
2021-01,TANCREDO NEVES,1,1,0.0,0.0,0
2021-01,TAPERA,1,0,16.5,10.0,0
2021-01,TAUAZINHO,1,0,31.0,182.0,0
2021-01,TEJUBANA,1,0,0.0,0.0,0
2021-01,TERRENOS NOVOS,2,1,3.0,75.75,1
2021-01,TIMBU,1,0,0.0,20.0,0
2021-01,TIMBÓ,1,0,0.0,0.0,0
2021-01,TIRADENTES,3,1,0.0,0.0,0
2021-01,TRIANGULO,1,0,0.0,0.0,0
2021-01,TUCUM,1,0,0.0,0.0,0
2021-01,VARZEA DA MATRIZ,1,0,36.0,147.0,0
2021-01,VERDE PARK,1,1,0.0,0.0,0
2021-01,VICENTE PINZON,3,1,40.0,20.0,0
2021-01,VILA ALTA,2,0,79.0,164.0,0
2021-01,VILA AZUL,1,1,0.0,0.0,0
2021-01,VILA CENTENÁRIO,3,0,6.0,90.8,0
2021-01,VILA DA PAZ,1,2,0.0,0.0,0
2021-01,VILA GADELHA,1,2,15.0,0.0,0
2021-01,VILA NEUMA,4,0,72.0,301.75,0
2021-01,VILA NOVA,2,1,0.0,0.0,0
2021-01,VILA PERI,1,0,0.0,0.0,0
2021-01,"VILA PÔR DO SOL, LAGOINHA",1,1,12.0,27.0,0
2021-01,VILA SÃO JOSÉ,1,0,0.0,0.0,0
2021-01,VILA SÃO RAFAEL,1,0,7.0,10.0,0
2021-01,VILA TRÊS MARIAS,1,1,0.0,0.0,0
2021-01,VILA UNIÃO,4,0,98.0,82.0,0
2021-01,VILA VELHA,2,0,20.0,37.0,0
2021-01,VÁRZEA ALEGRE,1,0,1.5,245.0,0
2021-01,VÁRZEA DA MATRIZ,2,0,8.3,327.1,0
2021-01,ZONA RURAL,63,54,10114.6,8002.45,1
2021-01,"ZONA RURAL, MAGABEIRA",1,0,0.0,0.0,0
2021-02,7 DE SETEMBRO,2,0,1.0,0.0,0
2021-02,ABC,1,1,395.0,1030.0,0
2021-02,ACARACUZINHO,1,1,0.0,0.0,0
2021-02,AEROPORTO,1,0,0.0,0.0,0
2021-02,ALAGADIÇO NOVO,1,0,0.0,0.0,0
2021-02,ALDEIA PARK,2,4,8.8,128.0,0
2021-02,ALDEIA PARQUE 2,1,0,0.0,0.0,0
2021-02,ALDEOTA,3,0,9.0,1884.0,0
2021-02,ALMOFALA,2,0,1857.0,0.0,0
2021-02,ALTA DA BOA VISTA,1,0,0.0,0.0,0
2021-02,ALTA DA MATANÇA,1,1,13.0,70.0,0
2021-02,ALTIPLANO,1,0,0.0,0.0,0
2021-02,ALTO ALEGRE,1,0,0.0,0.0,0
2021-02,ALTO ALEGRE II,1,0,0.0,0.0,0
2021-02,ALTO DA BELA VISTA,1,0,5.1,172.0,0
2021-02,ALTO DA COOPERATIVA,1,0,39.0,0.0,0
2021-02,ALTO DA EXPECTATIVA,1,0,2.0,132.0,0
2021-02,ALTO DO CEMITÉRIO,1,0,0.0,0.0,0
2021-02,ALTO DO CIPÓ,1,1,0.0,0.0,0
