cidade,bairro,hour,count
Amontada,Centro,16,1
Amontada,Centro,18,1
Amontada,Centro,21,1
Amontada,Centro,22,1
Amontada,Centro,23,1
Amontada,Cruzeiro,11,1
Amontada,Distrito de Icaraí,22,1
Amontada,Distrito de Sabiaguaba,16,1
Amontada,Flores,2,1
Amontada,Flores,13,1
Amontada,Flores,23,1
Amontada,Frecheiras,1,1
Amontada,Icaraizinho,1,1
Amontada,Icaraizinho de Amontada,5,1
Amontada,Icaraizinho de Amontada,14,1
Amontada,Icaraí,0,1
Amontada,Icaraí,12,1
Amontada,Icaraí de Amontada,22,1
Amontada,Icaraí de Amontada,23,1
Amontada,Miraima,0,1
Amontada,Mirinduba,20,1
Amontada,Pacovas,22,1
Amontada,Praia,17,1
Amontada,São José,23,1
Amontada,São Raimundo,11,1
Amontada,São Raimundo,12,1
Amontada,Torre,11,1
Amontada,Torre,12,3
Amontada,Torre,13,1
Amontada,Torre,21,1
Amontada,Torre,22,1
Amontada,Torre,23,2
Amontada,Torres,2,1
Amontada,Zona Rural,0,1
Amontada,Zona Rural,1,6
Amontada,Zona Rural,2,6
Amontada,Zona Rural,4,2
Amontada,Zona Rural,5,2
Amontada,Zona Rural,10,2
Amontada,Zona Rural,11,1
Amontada,Zona Rural,12,1
Amontada,Zona Rural,13,3
Amontada,Zona Rural,14,4
Amontada,Zona Rural,15,4
Amontada,Zona Rural,16,4
Amontada,Zona Rural,17,3
Amontada,Zona Rural,19,3
Amontada,Zona Rural,22,4
Amontada,Zona Rural,23,2
Amontada,Zona Urbana,2,1
Amontada,Zona Urbana,17,1
Amontada,Zona Urbana,20,1
Amontada,Zona Urbana,23,1
Amontada,Zonba Rural,0,1
Antonina do Norte,Serraria I,3,1
Apuiarés,Centro,5,1
Apuiarés,Centro,18,1
Apuiarés,Conj. São Bernardo,11,1
Apuiarés,Conjunto,20,1
Apuiarés,João Paulo,6,1
Apuiarés,João Paulo 2,19,1
Apuiarés,João Paulo II,5,1
Apuiarés,Portelina,17,1
Apuiarés,Portelinha,23,1
Apuiarés,São Francisco,6,1
Apuiarés,São Francisco,15,1
Apuiarés,Zona Rural,15,1
Apuiarés,Zona Urbana,10,1
Aquiraz,,13,1
Aquiraz,,19,1
Aquiraz,,21,1
Aquiraz,Alto Alegre,18,1
Aquiraz,Altos,22,1
Aquiraz,Aquiraz,4,1
Aquiraz,Aquiraz,5,1
Aquiraz,Augusto Magalhães,23,1
Aquiraz,Baixa Grande,17,1
Aquiraz,Barro Preto,13,1
Aquiraz,Barro Preto,17,1
Aquiraz,Barro Preto,23,1
Aquiraz,Batoque,1,1
Aquiraz,Boa Vista,1,1
Aquiraz,Boa Vista,2,1
Aquiraz,Boa Vista,21,1
Aquiraz,Cajueiro do Ministro,13,1
Aquiraz,Cajueiro do Ministro,19,1
Aquiraz,Camara,0,1
Aquiraz,Camará,2,3
Aquiraz,Camará,5,1
Aquiraz,Camará,12,1
Aquiraz,Camará,13,2
Aquiraz,Camará,15,1
Aquiraz,Camará,17,1
Aquiraz,Camará,22,2
Aquiraz,Caponga,21,1
Aquiraz,Caponga da Bernada,14,1
Aquiraz,Caponga da Bernada,15,1
Aquiraz,Caponga da Bernada,17,1
Aquiraz,Caponga de Bernada,18,1
Aquiraz,Centro,0,2
Aquiraz,Centro,1,1
Aquiraz,Centro,2,2
Aquiraz,Centro,3,2
Aquiraz,Centro,5,3
Aquiraz,Centro,11,1
Aquiraz,Centro,12,1
Aquiraz,Centro,13,1
Aquiraz,Centro,14,2
Aquiraz,Centro,15,1
Aquiraz,Centro,16,4
Aquiraz,Centro,17,1
Aquiraz,Centro,19,1
Aquiraz,Centro,20,1
Aquiraz,Centro,21,1
Aquiraz,Centro,22,1
Aquiraz,Centro,23,2
Aquiraz,Chacara da Prainha,2,1
Aquiraz,Chacará da Prainha,2,1
Aquiraz,Chácara Da Prainha,23,1
Aquiraz,Chácara Prainha,16,1
