cidade,bairro,weekday,count
Catunda,,Quarta-feira,1
Catunda,,Quinta-feira,1
Catunda,,Segunda-feira,1
Catunda,,Terça-feira,1
Caucaia,,Quinta-feira,148
Caucaia,,Sábado,147
Caucaia,,Domingo,136
Caucaia,,Sexta-feira,131
Caucaia,,Terça-feira,122
Caucaia,,Quarta-feira,119
Caucaia,,Segunda-feira,115
Cedro,,Quinta-feira,6
Cedro,,Terça-feira,6
Cedro,,Quarta-feira,5
Cedro,,Sexta-feira,5
Cedro,,Sábado,5
Cedro,,Domingo,4
Cedro,,Segunda-feira,4
Chaval,,Quarta-feira,5
Chaval,,Sexta-feira,5
Chaval,,Sábado,4
Chaval,,Quinta-feira,3
Chaval,,Terça-feira,2
Chaval,,Domingo,1
Chaval,,Segunda-feira,1
Chorozinho,,Terça-feira,9
Chorozinho,,Quarta-feira,7
Chorozinho,,Sábado,6
Chorozinho,,Quinta-feira,4
Chorozinho,,Segunda-feira,3
Chorozinho,,Sexta-feira,3
Chorozinho,,Domingo,1
Choró,,Terça-feira,8
Choró,,Sábado,7
Choró,,Domingo,4
Choró,,Quinta-feira,2
Choró,,Segunda-feira,2
Choró,,Sexta-feira,2
Choró,,Quarta-feira,1
Coreaú,,Quarta-feira,7
Coreaú,,Quinta-feira,5
Coreaú,,Sexta-feira,4
Coreaú,,Domingo,3
Coreaú,,Sábado,3
Coreaú,,Terça-feira,2
Coreaú,,Segunda-feira,1
Crateús,,Domingo,19
Crateús,,Sábado,14
Crateús,,Terça-feira,10
Crateús,,Quarta-feira,9
Crateús,,Sexta-feira,7
Crateús,,Quinta-feira,6
Crateús,,Segunda-feira,6
Crato,,Sábado,43
Crato,,Domingo,32
Crato,,Terça-feira,20
Crato,,Quarta-feira,19
Crato,,Segunda-feira,19
Crato,,Quinta-feira,16
Crato,,Sexta-feira,15
Croatá,,Quarta-feira,2
Croatá,,Sexta-feira,2
Croatá,,Terça-feira,2
Croatá,,Domingo,1
Croatá,,Quinta-feira,1
Croatá,,Segunda-feira,1
Cruz,,Domingo,8
Cruz,,Quinta-feira,5
Cruz,,Segunda-feira,5
Cruz,,Sábado,5
Cruz,,Terça-feira,5
Cruz,,Quarta-feira,2
Cruz,,Sexta-feira,1
Deputado Irapuan Pinheiro,,Terça-feira,3
Deputado Irapuan Pinheiro,,Domingo,1
Deputado Irapuan Pinheiro,,Sábado,1
Ereré,,Quarta-feira,1
Eusébio,,Sexta-feira,14
Eusébio,,Quarta-feira,13
Eusébio,,Domingo,10
Eusébio,,Quinta-feira,10
Eusébio,,Sábado,10
Eusébio,,Terça-feira,10
Eusébio,,Segunda-feira,5
Farias Brito,,Domingo,5
Farias Brito,,Sábado,4
Farias Brito,,Sexta-feira,2
Farias Brito,,Segunda-feira,1
Farias Brito,,Terça-feira,1
Forquilha,,Quinta-feira,21
Forquilha,,Sexta-feira,15
Forquilha,,Terça-feira,14
Forquilha,,Segunda-feira,12
Forquilha,,Domingo,11
Forquilha,,Quarta-feira,10
Forquilha,,Sábado,9
Fortaleza,,Sábado,2
Fortaleza,,Quarta-feira,1
Fortaleza,AEROLÂNDIA,Domingo,6
Fortaleza,AEROLÂNDIA,Quarta-feira,5
Fortaleza,AEROLÂNDIA,Segunda-feira,4
Fortaleza,AEROLÂNDIA,Sexta-feira,3
Fortaleza,AEROLÂNDIA,Terça-feira,3
Fortaleza,AEROPORTO,Sexta-feira,4
Fortaleza,AEROPORTO,Quinta-feira,3
Fortaleza,AEROPORTO,Domingo,2
Fortaleza,AEROPORTO,Quarta-feira,2
Fortaleza,AEROPORTO,Terça-feira,2
Fortaleza,AEROPORTO,Segunda-feira,1
Fortaleza,ALDEOTA,Quarta-feira,3
Fortaleza,ALDEOTA,Segunda-feira,3
Fortaleza,ALDEOTA,Quinta-feira,2
Fortaleza,ALDEOTA,Sábado,2
Fortaleza,ALDEOTA,Terça-feira,2
Fortaleza,ALTO DA BALANÇA,Domingo,5
Fortaleza,ALTO DA BALANÇA,Quarta-feira,4
Fortaleza,ALTO DA BALANÇA,Sexta-feira,3
Fortaleza,ALTO DA BALANÇA,Sábado,1
Fortaleza,ALTO DA BALANÇA,Terça-feira,1
Fortaleza,AMADEU FURTADO,Domingo,3
Fortaleza,AMADEU FURTADO,Quarta-feira,1
Fortaleza,AMADEU FURTADO,Quinta-feira,1
Fortaleza,AMADEU FURTADO,Segunda-feira,1
Fortaleza,AMADEU FURTADO,Sexta-feira,1
Fortaleza,AMADEU FURTADO,Sábado,1
Fortaleza,ANCURI,Quarta-feira,3
Fortaleza,ANCURI,Domingo,2
Fortaleza,ANCURI,Quinta-feira,2
Fortaleza,ANCURI,Segunda-feira,2
Fortaleza,ANCURI,Sexta-feira,2
Fortaleza,ANCURI,Sábado,1
Fortaleza,ANCURI,Terça-feira,1
Fortaleza,ANTÔNIO BEZERRA,Domingo,7
Fortaleza,ANTÔNIO BEZERRA,Quinta-feira,7
Fortaleza,ANTÔNIO BEZERRA,Sábado,7
Fortaleza,ANTÔNIO BEZERRA,Terça-feira,7
Fortaleza,ANTÔNIO BEZERRA,Quarta-feira,6
Fortaleza,ANTÔNIO BEZERRA,Sexta-feira,5
Fortaleza,ANTÔNIO BEZERRA,Segunda-feira,3
Fortaleza,ARACAPÉ,Domingo,4
Fortaleza,ARACAPÉ,Sexta-feira,4
Fortaleza,ARACAPÉ,Sábado,4
Fortaleza,ARACAPÉ,Quinta-feira,3
Fortaleza,ARACAPÉ,Segunda-feira,3
Fortaleza,ARACAPÉ,Quarta-feira,2
Fortaleza,ARACAPÉ,Terça-feira,2
Fortaleza,AUTRAN NUNES,Sábado,3
