,bairro_id,operacoes_diarias,drogas_gramas_total,armas_total,dinheiro_total_reais,drogas_gramas_total_norm,armas_total_norm,dinheiro_total_reais_norm,drogas_gramas_total_norm_lag1,drogas_gramas_total_norm_lag7,drogas_gramas_total_norm_lag30,armas_total_norm_lag1,armas_total_norm_lag7,armas_total_norm_lag30,dinheiro_total_reais_norm_lag1,dinheiro_total_reais_norm_lag7,dinheiro_total_reais_norm_lag30,drogas_gramas_total_norm_ma7,drogas_gramas_total_norm_ma30,armas_total_norm_ma7,armas_total_norm_ma30,dinheiro_total_reais_norm_ma7,dinheiro_total_reais_norm_ma30,intensity_score,drogas_gramas_total_norm_volatility,armas_total_norm_volatility,dinheiro_total_reais_norm_volatility,day_of_week_sin,day_of_week_cos,month_sin,month_cos
drogas_gramas_total_norm_lag30,-0.009198769760796333,0.10905955670817845,0.00873114179140771,0.05171728540080325,0.007833931144750785,0.030934417275850484,0.05859603485013484,0.028304601664053075,0.02117371032434228,0.032234431742738566,1.0,0.07116394545554164,0.08522491561964395,0.2150424927989601,0.019522022695397184,0.03652135964088608,0.24604386447066917,0.06938050375073007,0.1280910475659752,0.12638354768744295,0.15068641118300088,0.07087124927126195,0.10452994399415683,0.060321706043047894,0.06175367066931684,0.08414545379243842,0.06143984035779645,-0.01111658076828585,-0.003946499708911043,-0.01193989034790857,-0.010660504293360485
armas_total_norm_lag1,-0.03125131639074052,0.30116958289997486,0.044380982571627245,0.2591263684828835,0.012316308700935896,0.09339505985255955,0.24555270146668365,0.06813612174284285,0.2114395878676582,0.07880212050797722,0.07116394545554164,1.0,0.2446334000920758,0.2085174272335831,0.17742951678718602,0.0657951342785241,0.05858981721789194,0.23724452467603116,0.3204638771999257,0.5925396926164569,0.5065866234550033,0.19058095296415004,0.229338498744422,0.2176433689462225,0.19695878170723863,0.485155186467652,0.17648596713074224,-0.012739268209269043,-0.009116388348237798,-0.011317848554459912,-0.013906493089174582
armas_total_norm_lag7,-0.030554262351177332,0.29499928643559764,0.05477630889711975,0.26070083103155495,0.017304585480223088,0.08754448064384966,0.241925209103825,0.0724167337414063,0.07649388123007748,0.21418350434099528,0.08522491561964395,0.2446334000920758,1.0,0.21772804900707718,0.06895189182922304,0.17775878927429822,0.053362860884389636,0.2035031828823279,0.3232729335977758,0.4043177039527194,0.5063587010630494,0.15386505140539233,0.23077652664322368,0.21420435400274684,0.16356433094002484,0.24268881299421155,0.13751434378497032,-0.00020069744606723817,-0.01583527193134833,-0.016287195236528,-0.015047536270125473
armas_total_norm_lag30,-0.03091816111457609,0.26948146780467014,0.03691504388510694,0.2360817351637474,0.032055926391324596,0.07652690496287391,0.2228789133406473,0.06322458818428939,0.07325221051910388,0.08208793798309501,0.2150424927989601,0.2085174272335831,0.21772804900707718,1.0,0.05083120231121509,0.06597313434158618,0.1782575049486374,0.1894262848304667,0.3139853548957908,0.3644560040189672,0.43418532552816,0.1336528517530522,0.2134625124765629,0.1941453986234484,0.1531787779164001,0.21649764001051694,0.1214060367112281,-0.01471247386932068,0.004593567779300125,-0.01960193062128868,-0.011594013298596823
dinheiro_total_reais_norm_lag1,-0.015391391683012989,0.10760854811370184,0.019635320565950805,0.06283642853531082,0.0028525755837227693,0.031602340491657416,0.06677686035436439,0.030472216710243177,0.24321688958933613,0.030586104880319622,0.019522022695397184,0.17742951678718602,0.06895189182922304,0.05083120231121509,1.0,0.05417329221880982,0.03850649044549182,0.14348978105625093,0.15180208040323795,0.136827511326913,0.1338307325023206,0.40152243607539023,0.25626099892459403,0.0663819359811805,0.130053573511601,0.12328985857165635,0.40410732955520823,-0.012887107414931695,0.0024230597984108535,-0.003347613190369384,-0.0013398337628206824
dinheiro_total_reais_norm_lag7,-0.015673617976646365,0.11618906840575312,0.017016805991473986,0.058887829595926484,0.0046444022414762354,0.026518571735030288,0.0664623222860217,0.03541977330643214,0.03610080373834066,0.24587255529954669,0.03652135964088608,0.0657951342785241,0.17775878927429822,0.06597313434158618,0.05417329221880982,1.0,0.051354701459665045,0.07674321019872002,0.14807827700603077,0.10866602946562642,0.1339349905711309,0.07820215946960257,0.23517342911942513,0.06555624200948722,0.06525568115211867,0.08356926129717439,0.06652441642351556,-0.009453908584269543,-0.009350633622153805,-0.004293797847514294,-0.003184902937480738
dinheiro_total_reais_norm_lag30,-0.01554485018216862,0.10887970554312901,0.0068773103371289985,0.058766573737984475,0.013023914779317398,0.021868451067110564,0.05567290453354728,0.04065224940957054,0.03524632098270996,0.028232907752845697,0.24604386447066917,0.05858981721789194,0.053362860884389636,0.1782575049486374,0.03850649044549182,0.051354701459665045,1.0,0.059110049038969104,0.10724098760720474,0.09645962595269797,0.11568874545239838,0.08313365372777676,0.11790259799940767,0.058672477215647535,0.049281028105694444,0.0648729464217479,0.07370028089011614,-0.00645957778755116,0.01220522844101053,-0.0038061646573694123,-0.0017012936428206925
drogas_gramas_total_norm_ma7,-0.023882043678103506,0.3546078775243327,0.18051868623431133,0.22986099255695341,0.03440714200272054,0.4169557883646951,0.2323603532872696,0.14385046528685427,0.4234602693991644,0.08528835510093573,0.06938050375073007,0.23724452467603116,0.2035031828823279,0.1894262848304667,0.14348978105625093,0.07674321019872002,0.059110049038969104,1.0,0.6264614125619251,0.40398234523070425,0.4111254222558257,0.3466189313360303,0.31266760395465026,0.3894915404860446,0.9742564758760798,0.349779729398892,0.332616518025872,0.0007162139002513589,0.00048666524938446344,-0.013844943646416986,-0.030605751574157413
drogas_gramas_total_norm_ma30,-0.03696341170234312,0.4795717344205672,0.10366736927145162,0.32463910871796625,0.04049957328095041,0.2602676122418524,0.31790988905934964,0.152256119347463,0.2610162279602625,0.2594605620986089,0.1280910475659752,0.3204638771999257,0.3232729335977758,0.3139853548957908,0.15180208040323795,0.14807827700603077,0.10724098760720474,0.6264614125619251,1.0,0.5400795955834309,0.6400048255613565,0.35605051489131634,0.5157837872760652,0.37046478106630615,0.5779094096968843,0.3995230795471595,0.32161552064230103,0.0023273148739341365,-0.0014147931522720948,-0.030782355635568685,-0.037570476150719095
armas_total_norm_ma7,-0.05248538899949288,0.5827615394644193,0.07482630672466747,0.5926560173216727,0.03705823635115345,0.17291499301049965,0.5956481537871808,0.13861615677233305,0.17472930134393846,0.13468036024582986,0.12638354768744295,0.5925396926164569,0.4043177039527194,0.3644560040189672,0.136827511326913,0.10866602946562642,0.09645962595269797,0.40398234523070425,0.5400795955834309,1.0,0.8598094822702346,0.3235608137384106,0.3945251031056532,0.49309117050318235,0.3367771738010139,0.8140651684260743,0.29522985841325056,0.0003863310586672893,0.0005919998699410173,-0.021048942764771168,-0.022187446331792912
