bairro,n_high_months,mean_homicide_reduction_next_vs_prev
PADRE IBIAPINA,1,0.0
PADRE JÚLIO MARIA,1,0.0
PADRE PALHANO,7,-0.14285714285714285
PAJEÚ,3,0.0
PAJUÇARA,16,0.0
PALESTINA,3,0.0
PALMEIRAS,1,0.0
PANTANAL,7,-0.14285714285714285
PAPICU,3,0.0
PARACURU BEACH,2,0.0
PARADA,2,0.0
PARANGABA,8,0.0
PARANÁ,1,0.0
PARIPUEIRA,1,0.0
PARQUE ALBANO,2,0.0
PARQUE DAS NAÇÕES,1,0.0
PARQUE DOIS IRMÃOS,1,0.0
PARQUE GUADALAJARA,1,0.0
PARQUE JARI,2,0.0
PARQUE LEBLON,9,0.0
PARQUE SANTA FÉ,3,0.3333333333333333
PARQUE SANTA MARIA,1,0.0
PARQUE SANTANA,1,0.0
PARQUE SOLEDADE,2,0.0
PARQUE SÃO JOSÉ,18,0.05555555555555555
PARQUE SÃO JOÃO,2,0.5
PARQUE TIJUCA,4,0.0
PARQUELÂNDIA,7,0.0
PASSAGEM,1,0.0
PASSARÉ,14,0.0
PATACAS,3,0.0
PAU SERRADO,2,0.0
PAUPINA,13,0.0
PAVUNA,4,0.0
PECÉM,7,0.0
PEDRAS,4,0.0
PEDREGAL,4,0.0
PEDREIRA,2,0.5
PEDRINHAS,16,0.125
PEREIROS,6,0.0
PERNAMBUQUINHO,4,0.0
PIAU,3,0.0
PICI,9,0.0
PICUÍ,7,0.14285714285714285
PINTO MADEIRA,4,0.0
PIO XII,2,0.0
PIRAJÁ,1,0.0
PIRAMBU,13,0.15384615384615385
PLANALTO,6,0.0
PLANALTO AIRTON SENA,3,0.0
PLANALTO AIRTON SENNA,2,0.0
PLANALTO AYRTON SENNA,3,0.0
PLANALTO BENJAMIM,1,0.0
PLANALTO HORIZONTE,8,0.0
PLANALTO PICI,3,0.0
POMPEIA,1,0.0
PONTE NOVA,1,0.0
PONTE PRETA,2,0.0
POSTO CONTINENTAL,2,0.0
POTIRA,11,0.0
PRADO,3,0.0
PRAIA,1,0.0
PRAIA DE IRACEMA,1,0.0
PRAIA DO FUTURO,3,0.0
PRAINHA,6,-0.16666666666666666
PRECABURA,5,0.0
PREFEITO JOSÉ WALTER,1,0.0
PRESIDENTE KENNEDY,5,-0.2
PRESIDENTE VARGAS,5,0.0
PROURB,2,0.0
PROURBE,2,0.5
PUTIÚ,1,0.0
QUINTINO CUNHA,10,0.0
RECREIO,2,0.0
