cidade,n_periodos,corr_pearson,corr_spearman,p_value,cvli_trend,pris_trend,cvli_media,pris_media
IPAPORANGA,6,,,,0.0,0.0,1.0,1.33
ITAICABA,5,,,,0.0,0.0,1.0,1.4
ITAPIUNA,4,,,,0.0,2.0,1.0,2.0
LAVRAS DA MANGABEIRA,7,,,,0.0,-0.444,1.0,7.14
MERUOCA,3,,,,0.0,0.0,1.0,1.0
MILAGRES,4,,,,0.0,2.0,1.0,1.5
MILHA,3,,,,0.0,1.0,1.0,1.67
PIQUET CARNEIRO,3,,,,0.0,0.0,1.0,1.0
PORTEIRAS,4,,,,0.0,1.0,1.0,1.25
QUIXELO,5,,,,0.0,0.0,1.0,2.6
RERIUTABA,6,,,,0.0,-0.5,1.0,2.83
SALITRE,6,,,,0.0,0.0,1.0,1.17
TURURU,7,,,,0.0,0.0,1.0,2.14
UMIRIM,4,,,,1.0,0.0,1.25,2.0
