cidade,bairro,consistency,total_cvli
Sobral,Dom Expedito,0.6665535975349844,23
Fortaleza,Praia do Futuro,0.6663609262483773,11
Missão Velha,Zona Rural,0.6658477693383013,16
Bela Cruz,Centro,0.665010961863038,17
Granja,Oiteiro,0.6649145588771259,12
Acopiara,Vila Esperança,0.6649145588771259,12
Fortaleza,Siqueira,0.6646616133896777,30
Aracati,Zona Rural,0.6640121081396737,19
Canindé,Zona Rural,0.6635527044201429,11
Jijoca de Jericoacoara,Centro,0.663222091396622,11
Boa Viagem,Centro,0.6630870167457981,14
Amontada,Zona Rural,0.6626732938013252,29
Quixadá,Campo Velho,0.6618806351694061,23
Ipueiras,Centro,0.66063237702238,20
Itaitinga,Ancuri,0.6594884831929078,22
Maracanaú,Pajuçara,0.6588352610867483,42
Crato,Vila Lobo,0.6582449932301109,13
Fortaleza,Barra Do Ceará,0.6582449932301109,13
Fortaleza,Monte Castelo,0.6565469301258757,28
Itaitinga,Barrocão,0.6556730902777069,19
Chorozinho,Zona Rural,0.6548590014996049,16
Fortaleza,Aldeota,0.6547898217928145,26
Fortaleza,Cambeba,0.6534537935444721,12
Iguatu,Prado,0.6534537935444721,12
Fortaleza,Montese,0.6531919999157885,22
Jardim,Zona Rural,0.6521916363346348,25
Granja,Cachoeira,0.6508986444147931,10
Fortaleza,Jardim das Oliveiras,0.6508052149125881,15
Fortaleza,Lagamar,0.6492434634739693,24
Sobral,Junco,0.6489083709423917,17
Aquiraz,Camará,0.6488836954390776,11
Lavras da Mangabeira,Zona Rural,0.6488836954390776,11
Maracanaú,Santo Sátiro,0.6488836954390776,11
Iguatu,Veneza,0.6488836954390776,11
Eusébio,Tamatanduba,0.6470588235294118,11
Camocim,Centro,0.6468967922943426,17
Beberibe,Centro,0.6465579639204054,16
Tabuleiro Do Norte,Zona Rural,0.6463701257132777,7
Iguatu,7 de Setembro,0.64484633292544,10
Jaguaruana,Juazeiro,0.64484633292544,10
Viçosa Do Ceará,Zona Rural,0.6446515261701703,21
Sobral,Caiçara,0.6430660255176261,24
Fortaleza,Colônia,0.6430592460308935,15
Ipu,Boa Vista,0.6419419098057333,9
Paraipaba,Boa Esperança,0.6419419098057333,9
Fortaleza,Praia de Iracema,0.6407978314872615,14
Ipueiras,Zona Rural,0.6406815385739906,30
Paracuru,Conjunto Nova Esperança,0.6387977526272042,8
Tauá,Alto Brilhante,0.6386979044864147,10
Quixeramobim,Maravilha,0.6381837965059188,14
Caucaia,Picuí,0.6370796727483214,19
Crateús,Fátima I,0.6369807948614883,21
Acopiara,Centro,0.6350626800266493,16
Iguatu,Cocobó,0.6325320725568113,15
Fortaleza,Cais do Porto,0.6306915092699479,16
Itaitinga,Jabuti,0.6298825509411565,18
Fortaleza,Couto Fernandes,0.6297448377516485,9
Baturité,Mondego,0.6297448377516485,9
Massapê,Rodagem,0.6294594059944892,14
Fortaleza,Jardim Iracema,0.6281886993133663,28
Viçosa do Ceará,Escola Normal,0.626454630000087,16
Pacatuba,Nova Pacatuba,0.6257416948956254,21
Campos Sales,Zona Rural,0.6247934794180072,15
Fortaleza,Henrique Jorge,0.6242936525769534,30
Fortaleza,Paupina,0.6227727758572985,39
Morada Nova,Zona Rural,0.6216216216216216,23
Quixeramobim,Conjunto Esperança,0.6203041521091861,13
Sobral,Vila União,0.6202041028867288,20
Massapê,Zona Rural,0.6202041028867287,8
Sobral,Dom José II,0.6192871297755227,16
Fortaleza,Vila Manoel Sátiro,0.6186724352447462,14
Acaraú,Zona Rural,0.618523527561269,29
Santana do Acaraú,Zona Rural,0.6183793252898949,26
Paraipaba,Zona Rural,0.6171336136187558,17
Ubajara,Zona Rural,0.61685551640623,23
Fortaleza,Vicente Pinzon,0.6156727327760151,31
Fortaleza,Serrinha,0.6141149218309033,26
Camocim,Rodagem do Lago,0.6139600377467727,15
Maracanaú,Colônia,0.6110251095689567,14
Aquiraz,Tapera,0.6026661885731256,14
Nova Russas,Zona Rural,0.5994441253990295,30
Caucaia,Nova Metrópole,0.598166512612126,19
Fortaleza,Presidente Kennedy,0.5939076506255432,21
Fortaleza,Vila Pery,0.5925336636589499,15
Aquiraz,Patacas,0.588419631857429,13
Maracanaú,Novo Oriente,0.5791608368995805,10
Fortaleza,Planalto Ayrton Senna,0.5735984538914354,26
Ibiapina,Zona Rural,0.571941613404711,30
Pacajus,Buriti,0.5628339379633525,16
São Gonçalo do Amarante,Pecém,0.5574989369746564,10
Maracanaú,Jardim Bandeirantes,0.5574989369746564,15
Várzea Alegre,Riachinho,0.5521513194929527,15
Aracati,Vila São Rafael,0.5051025721682191,10
Quixadá,Triângulo,0.5015528100075709,9
Forquilha,Zona Rural,0.5,12
