cidade,mes_operacao,mes_resultado,prisoes_antes,prisoes_depois,prisoes_aumento,prisoes_aumento_pct,cvli_antes,cvli_depois,cvli_aumento,cvli_aumento_pct,tipo_impacto,cvli_reducao,cvli_reducao_pct
SAO GONCALO DO AMARANTE,8,9,19,21,2,10.5,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
SAO GONCALO DO AMARANTE,10,11,8,19,11,137.5,4,3,,,POSITIVO: Pris↑ Cvli↓,1.0,-25.0
SAO LUIS DO CURU,3,4,1,4,3,300.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
SAO LUIS DO CURU,4,5,4,9,5,125.0,4,1,,,POSITIVO: Pris↑ Cvli↓,3.0,-75.0
SAO LUIS DO CURU,7,8,1,4,3,300.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
TABULEIRO DO NORTE,2,3,3,11,8,266.7,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
TABULEIRO DO NORTE,8,9,4,8,4,100.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
TAMBORIL,1,2,4,6,2,50.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
TAMBORIL,3,4,2,10,8,400.0,1,6,5.0,500.0,NEGATIVO: Pris↑ Cvli↑,,
TAMBORIL,7,8,4,5,1,25.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
TAMBORIL,8,9,5,6,1,20.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
TAUA,2,3,2,3,1,50.0,1,6,5.0,500.0,NEGATIVO: Pris↑ Cvli↑,,
TAUA,3,4,3,5,2,66.7,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
TAUA,5,6,5,6,1,20.0,1,4,3.0,300.0,NEGATIVO: Pris↑ Cvli↑,,
TAUA,9,10,5,6,1,20.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
TIANGUA,4,5,7,9,2,28.6,3,2,,,POSITIVO: Pris↑ Cvli↓,1.0,-33.3
TIANGUA,6,7,2,5,3,150.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
TIANGUA,8,9,8,13,5,62.5,5,3,,,POSITIVO: Pris↑ Cvli↓,2.0,-40.0
TRAIRI,3,4,1,3,2,200.0,2,4,2.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
TRAIRI,6,7,2,3,1,50.0,7,1,,,POSITIVO: Pris↑ Cvli↓,6.0,-85.7
TRAIRI,8,9,3,4,1,33.3,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
TRAIRI,9,10,4,8,4,100.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
UBAJARA,2,4,4,5,1,25.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
UBAJARA,6,7,1,2,1,100.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
UBAJARA,10,11,4,6,2,50.0,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
VARJOTA,3,4,1,2,1,100.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
VARJOTA,10,11,1,3,2,200.0,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
VICOSA DO CEARA,1,2,1,2,1,100.0,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
VICOSA DO CEARA,2,3,2,6,4,200.0,2,1,,,POSITIVO: Pris↑ Cvli↓,1.0,-50.0
VICOSA DO CEARA,3,4,6,7,1,16.7,1,3,2.0,200.0,NEGATIVO: Pris↑ Cvli↑,,
VICOSA DO CEARA,5,6,3,4,1,33.3,1,9,8.0,800.0,NEGATIVO: Pris↑ Cvli↑,,
VICOSA DO CEARA,11,12,2,4,2,100.0,3,1,,,POSITIVO: Pris↑ Cvli↓,2.0,-66.7
VARZEA ALEGRE,7,9,3,7,4,133.3,1,2,1.0,100.0,NEGATIVO: Pris↑ Cvli↑,,
